               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.044011,            0.028019,                   0,             0.61808,              0.4757,             0.50791,             0.21928,            0.051811,            0.015993,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.043863,            0.028196,                   0,             0.60724,             0.54242,             0.55225,             0.26361,            0.048105,            0.015169,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043955,            0.028624,                   0,             0.55878,             0.49697,             0.49159,             0.20323,            0.052984,            0.015847,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.04397,            0.028203,                   0,             0.71763,             0.44668,             0.54097,             0.24948,            0.051124,            0.015224,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.043449,            0.028061,                   0,             0.50627,             0.42424,             0.39547,             0.17864,            0.052122,            0.018003,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.043339,            0.027594,                   0,             0.71389,             0.49697,             0.56811,              0.2625,             0.04944,            0.014874,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042529,            0.028531,                   0,             0.65424,             0.51212,             0.54743,             0.23711,            0.051728,             0.01469,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.042715,            0.027794,                   0,             0.62431,             0.52372,             0.55273,             0.24802,            0.049542,            0.015769,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.041843,            0.027399,                   0,             0.67623,             0.50633,             0.56299,             0.24981,            0.051083,            0.015655,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.041902,            0.027499,                   0,             0.66728,             0.53636,             0.59385,             0.28848,            0.047948,            0.014717,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.042218,            0.027852,                   0,             0.63593,             0.53333,             0.58551,             0.25012,            0.051881,            0.014815,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.04176,            0.027502,                   0,             0.65375,             0.47273,              0.5329,             0.24393,            0.050981,            0.015361,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.041202,            0.027198,                   0,             0.69267,             0.51515,             0.59717,             0.28649,            0.047331,            0.016066,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.040465,            0.026779,                   0,             0.64114,             0.50606,             0.55613,             0.25618,            0.049667,            0.015656,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.040955,            0.027189,                   0,             0.73822,             0.47856,             0.55418,             0.25394,            0.049171,            0.016222,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.040488,            0.027149,                   0,             0.73339,             0.51212,             0.58217,             0.26748,            0.048276,            0.014979,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.040327,            0.025259,                   0,             0.66518,             0.49394,             0.56088,             0.25088,            0.049889,            0.014917,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.040326,             0.02623,                   0,             0.72521,             0.51184,             0.57954,             0.27438,            0.046647,            0.015305,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.039671,            0.025995,                   0,             0.61322,             0.56364,             0.57451,             0.29537,            0.046368,            0.015585,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.039789,            0.026227,                   0,             0.69719,             0.55118,             0.58485,             0.27121,            0.047209,            0.014816,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.039408,            0.026243,                   0,             0.67434,             0.56364,             0.60186,             0.27933,            0.048372,            0.014389,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.038961,             0.02523,                   0,             0.67159,             0.57576,             0.59766,             0.27925,            0.047942,            0.014382,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.039282,            0.025574,                   0,             0.74118,             0.51212,             0.59033,             0.28291,            0.047237,            0.015093,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.038886,            0.025616,                   0,              0.6571,             0.53939,             0.57511,             0.28143,            0.046403,            0.014886,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.038817,            0.026573,                   0,             0.70355,             0.56364,             0.64106,             0.30858,            0.044853,            0.014438,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.038067,            0.024912,                   0,             0.65196,             0.53333,              0.5928,              0.2844,             0.04624,             0.01509,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.038437,            0.025745,                   0,             0.68518,             0.50125,             0.58411,             0.27523,            0.047565,            0.015236,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.037958,            0.024788,                   0,             0.62884,             0.44153,             0.50466,             0.24555,            0.047337,             0.01602,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.038141,            0.025739,                   0,             0.68653,             0.56364,             0.61407,             0.28582,            0.046851,            0.014991,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.038143,            0.025888,                   0,             0.66152,                 0.5,             0.56456,             0.26601,            0.046706,            0.015357,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.038132,            0.024938,                   0,             0.70972,             0.52603,             0.56658,             0.26973,            0.047623,            0.015304,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.038261,            0.026022,                   0,             0.62473,             0.58788,             0.59311,             0.29305,            0.045878,             0.01484,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.037871,            0.025215,                   0,             0.67671,              0.5303,             0.57277,             0.26896,            0.046713,            0.015199,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.037529,             0.02502,                   0,             0.73036,              0.5171,             0.60173,             0.30326,            0.046252,            0.014885,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.037236,            0.024764,                   0,             0.76497,             0.51289,             0.61989,             0.28788,            0.047505,            0.014439,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.036981,            0.025042,                   0,             0.63067,              0.5303,             0.55277,             0.26519,            0.046556,             0.01534,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.037096,            0.024146,                   0,             0.71969,             0.52424,             0.59413,             0.27906,            0.048371,            0.014624,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.036573,             0.02482,                   0,             0.72688,             0.51616,             0.60619,             0.29817,            0.044549,            0.015151,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.036748,            0.025343,                   0,             0.61672,             0.59975,              0.6193,             0.29275,            0.047079,            0.014122,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.036609,            0.024918,                   0,             0.74149,              0.5476,             0.61677,             0.31052,            0.045462,            0.014581,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.036538,            0.024732,                   0,             0.66472,             0.55873,             0.60784,             0.29467,            0.046702,            0.014427,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.035903,            0.024149,                   0,             0.69446,             0.50303,             0.57426,             0.27264,            0.046989,            0.015379,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.036053,            0.023047,                   0,             0.66379,             0.49697,             0.55272,             0.26261,            0.047287,            0.014949,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.036133,            0.024561,                   0,             0.68675,             0.53333,             0.59643,             0.29305,            0.046735,            0.014734,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.035763,            0.023925,                   0,             0.62265,             0.59091,             0.61609,             0.30629,            0.046771,            0.014862,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.035265,            0.024081,                   0,             0.73638,             0.51515,             0.60348,             0.29344,            0.045494,            0.014622,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.035408,            0.023839,                   0,             0.74178,             0.50909,              0.6066,             0.30273,            0.044576,            0.014977,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.035146,            0.023064,                   0,             0.76465,             0.55455,             0.64939,             0.32684,            0.044173,            0.014197,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.035316,            0.024382,                   0,              0.6376,             0.57879,             0.59805,             0.28695,            0.045231,            0.014979,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.035022,            0.023815,                   0,             0.74827,             0.52245,             0.61915,             0.30959,            0.044733,            0.014538,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.035058,            0.023131,                   0,             0.63805,             0.62727,             0.64301,             0.30998,            0.046114,            0.014068,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.034072,            0.023426,                   0,             0.74376,             0.50909,             0.61824,             0.30668,            0.045664,            0.014654,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.034788,             0.02354,                   0,             0.62589,             0.60909,             0.62422,             0.30384,            0.045901,            0.015125,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.034597,            0.023334,                   0,              0.7571,              0.5195,             0.62069,             0.30986,            0.045674,             0.01434,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.034209,            0.023157,                   0,             0.66156,             0.56061,             0.61712,             0.30441,            0.045241,            0.015198,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.034441,            0.023005,                   0,             0.72529,             0.56061,             0.62944,             0.31802,            0.045414,            0.014684,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.033647,            0.022497,                   0,             0.72969,              0.5303,             0.63471,             0.30617,            0.046114,             0.01464,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.033996,            0.023083,                   0,             0.61508,             0.59697,             0.62422,              0.2974,            0.046323,             0.01498,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.033618,            0.022505,                   0,             0.61834,             0.61212,             0.62157,             0.30465,            0.044559,            0.014475,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.033671,            0.022466,                   0,             0.76671,             0.53939,             0.63396,             0.31319,            0.044375,            0.014439,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.034591,            0.023263,                   0,              0.7647,             0.52196,             0.62645,             0.30873,            0.044626,            0.014748,                   0,            0.000298,            0.000298,            0.000298
